"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"1","COH.BY.PCOH1","0.66***","[ 0.63,  0.69]","0.66***","[ 0.63,  0.69]",,
"2","COH.BY.PCOH2","0.64***","[ 0.62,  0.67]","0.64***","[ 0.62,  0.67]",,
"3","COH.BY.PCOH3","0.56***","[ 0.53,  0.60]","0.56***","[ 0.53,  0.60]",,
"4","PSS.BY.PPSS1","0.61***","[ 0.58,  0.63]","0.61***","[ 0.58,  0.63]",,
"5","PSS.BY.PPSS2","0.58***","[ 0.55,  0.60]","0.58***","[ 0.55,  0.60]",,
"6","PSS.BY.PPSS3","0.55***","[ 0.53,  0.58]","0.55***","[ 0.53,  0.58]",,
"7","PSS.BY.PPSS4","0.58***","[ 0.56,  0.61]","0.58***","[ 0.56,  0.61]",,
"8","PSS.BY.PPSS5","0.61***","[ 0.58,  0.63]","0.61***","[ 0.58,  0.63]",,
"9","PHQ.BY.PPHQ1","0.24***","[ 0.22,  0.26]","0.24***","[ 0.22,  0.26]",,
"10","PHQ.BY.PPHQ2","0.26***","[ 0.24,  0.29]","0.26***","[ 0.24,  0.29]",,
"11","PHQ.BY.PPHQ3","0.32***","[ 0.30,  0.34]","0.32***","[ 0.30,  0.34]",,
"12","PHQ.BY.PPHQ4","0.30***","[ 0.27,  0.32]","0.30***","[ 0.27,  0.32]",,
"13","PHQ.BY.PPHQ5","0.29***","[ 0.27,  0.32]","0.29***","[ 0.27,  0.32]",,
"14","PLEA.BY.PPLEA1","0.33***","[ 0.31,  0.36]","0.33***","[ 0.31,  0.36]",,
"15","PLEA.BY.PPLEA2","0.52***","[ 0.49,  0.55]","0.52***","[ 0.49,  0.55]",,
"16","SAFE.BY.PSAFE1","0.53***","[ 0.51,  0.56]","0.53***","[ 0.51,  0.56]",,
"17","SAFE.BY.PSAFE2","0.44***","[ 0.42,  0.46]","0.44***","[ 0.42,  0.46]",,
"18","SAFE.BY.PSAFE3","0.43***","[ 0.41,  0.46]","0.43***","[ 0.41,  0.46]",,
"19","SAFE.BY.TRAFFIC","-0.33***","[-0.36, -0.30]","-0.33***","[-0.36, -0.30]",,
"20","GREEN.BY.PGREEN1","0.42***","[ 0.38,  0.46]","0.42***","[ 0.38,  0.46]",,
"21","GREEN.BY.PGREEN2","0.40***","[ 0.36,  0.44]","0.40***","[ 0.36,  0.44]",,
"22","BLUE.BY.RIVER","0.50***","[ 0.44,  0.56]","0.50***","[ 0.44,  0.56]",,
"23","BLUE.BY.LAKE","0.69***","[ 0.63,  0.76]","0.69***","[ 0.63,  0.76]",,
"24","BLUE.BY.BEACH","0.10***","[ 0.07,  0.13]","0.10***","[ 0.07,  0.13]",,
"25","NOI.BY.TRAFFIC","0.09***","[ 0.05,  0.12]","0.09***","[ 0.05,  0.12]",,
"26","NOI.BY.INSIDE","0.61***","[ 0.58,  0.65]","0.61***","[ 0.58,  0.65]",,
"27","NOI.BY.OUTSIDE","0.57***","[ 0.53,  0.60]","0.57***","[ 0.53,  0.60]",,
"28","PHQ.ON.NOI","0.11","[-0.05,  0.27]","0.09*","[ 0.00,  0.18]","-0.02","[-0.20,  0.16]"
"29","PHQ.ON.PLEA","-0.14","[-0.45,  0.17]","0.02","[-0.10,  0.15]","0.16","[-0.18,  0.51]"
"30","PHQ.ON.SAFE","0.33**","[ 0.12,  0.54]","0.03","[-0.08,  0.13]","-0.30*","[-0.53, -0.06]"
"31","PHQ.ON.COH","-0.20*","[-0.37, -0.02]","-0.06","[-0.16,  0.03]","0.13","[-0.07,  0.34]"
"32","PHQ.ON.GREEN","0.01","[-0.33,  0.34]","0.04","[-0.07,  0.15]","0.03","[-0.32,  0.38]"
"33","PHQ.ON.BLUE","-0.02","[-0.35,  0.32]","-0.05","[-0.15,  0.05]","-0.03","[-0.38,  0.31]"
"34","PHQ.ON.PSS","1.54***","[ 1.38,  1.70]","1.12***","[ 1.02,  1.22]","-0.42***","[-0.58, -0.26]"
"35","PSS.ON.NOI","0.15**","[ 0.04,  0.26]","0.08*","[ 0.00,  0.15]","-0.07","[-0.20,  0.06]"
"36","PSS.ON.PLEA","0.19","[-0.01,  0.38]","0.00","[-0.11,  0.11]","-0.19","[-0.41,  0.04]"
"37","PSS.ON.SAFE","-0.17*","[-0.32, -0.03]","-0.21***","[-0.30, -0.13]","-0.04","[-0.20,  0.13]"
"38","PSS.ON.COH","-0.28***","[-0.41, -0.16]","-0.15***","[-0.24, -0.07]","0.13","[-0.02,  0.29]"
"39","PSS.ON.GREEN","0.16","[-0.05,  0.37]","-0.00","[-0.10,  0.09]","-0.16","[-0.38,  0.06]"
"40","PSS.ON.BLUE","-0.09","[-0.30,  0.11]","-0.03","[-0.12,  0.06]","0.06","[-0.16,  0.28]"
"41","PHQ.ON.DEP","-0.03","[-0.30,  0.24]","-0.05","[-0.21,  0.10]","-0.02","[-0.33,  0.28]"
