"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"292","PLEA.WITH.COH","0.56***","[ 0.51,  0.61]","0.64***","[ 0.60,  0.68]",,
"294","PPHQ4.WITH.PPHQ3","0.23***","[ 0.20,  0.27]","0.28***","[ 0.24,  0.31]",,
"296","PSS.BY.PPSS1","0.80***","[ 0.79,  0.82]","0.80***","[ 0.78,  0.82]",,
"298","PSS.BY.PPSS2","0.82***","[ 0.81,  0.84]","0.83***","[ 0.82,  0.84]",,
"300","PSS.BY.PPSS3","0.80***","[ 0.78,  0.82]","0.82***","[ 0.80,  0.83]",,
"302","PSS.BY.PPSS4","0.84***","[ 0.83,  0.86]","0.84***","[ 0.83,  0.85]",,
"304","PSS.BY.PPSS5","0.79***","[ 0.77,  0.81]","0.80***","[ 0.78,  0.81]",,
"306","PSS.ON.AGE","-0.14***","[-0.20, -0.09]","-0.14***","[-0.18, -0.11]","-0.00","[-0.01,  0.00]"
"308","PSS.ON.BLUE","-0.01","[-0.16,  0.13]","-0.05","[-0.10,  0.01]","-0.04","[-0.21,  0.14]"
"310","PSS.ON.COH","-0.23***","[-0.32, -0.15]","-0.13***","[-0.18, -0.07]","0.13*","[ 0.01,  0.24]"
"312","PSS.ON.DEP","0.01","[-0.04,  0.06]","-0.04*","[-0.07, -0.00]","-0.12","[-0.28,  0.04]"
"314","PSS.ON.EDUH","-0.17***","[-0.23, -0.11]","-0.15***","[-0.19, -0.10]","0.10","[-0.07,  0.28]"
"316","PSS.ON.EDUM","-0.10**","[-0.16, -0.05]","-0.06**","[-0.11, -0.01]","0.10","[-0.06,  0.26]"
"318","PSS.ON.FRAG","-0.06","[-0.12,  0.01]","-0.03","[-0.07,  0.02]","0.01","[-0.02,  0.04]"
"320","PSS.ON.GREEN","0.07","[-0.08,  0.23]","0.03","[-0.02,  0.08]","-0.05","[-0.23,  0.14]"
"322","PSS.ON.HOUS2C","-0.03","[-0.08,  0.02]","-0.02","[-0.06,  0.01]","0.01","[-0.13,  0.15]"
"324","PSS.ON.HOUSO","-0.01","[-0.06,  0.04]","-0.05**","[-0.08, -0.02]","-0.11","[-0.29,  0.07]"
"326","PSS.ON.HOUSSP","0.00","[-0.04,  0.05]","-0.02","[-0.05,  0.01]","-0.10","[-0.37,  0.17]"
"328","PSS.ON.INC2","-0.01","[-0.07,  0.04]","0.02","[-0.03,  0.07]","0.11","[-0.12,  0.33]"
"330","PSS.ON.INC3","-0.01","[-0.07,  0.04]","-0.01","[-0.06,  0.04]","0.02","[-0.19,  0.23]"
"332","PSS.ON.INC4","-0.03","[-0.09,  0.03]","-0.01","[-0.06,  0.05]","0.06","[-0.15,  0.28]"
"334","PSS.ON.INC5","-0.13***","[-0.19, -0.07]","-0.06","[-0.12,  0.00]","0.22*","[ 0.01,  0.43]"
"336","PSS.ON.MARN","0.06","[-0.01,  0.12]","0.03","[-0.01,  0.07]","-0.06","[-0.21,  0.10]"
"338","PSS.ON.MARS","0.13***","[ 0.07,  0.18]","0.06**","[ 0.02,  0.09]","-0.24","[-0.49,  0.00]"
"340","PSS.ON.MARW","0.02","[-0.03,  0.08]","0.04*","[ 0.01,  0.07]","0.18","[-0.39,  0.74]"
"342","PSS.ON.NOI","0.14***","[ 0.06,  0.21]","0.11***","[ 0.06,  0.16]","-0.03","[-0.13,  0.06]"
"344","PSS.ON.PLEA","0.17*","[ 0.02,  0.31]","0.02","[-0.05,  0.09]","-0.17","[-0.36,  0.01]"
"346","PSS.ON.SAFE","-0.18***","[-0.28, -0.08]","-0.16***","[-0.21, -0.10]","0.03","[-0.10,  0.16]"
"348","PSS.ON.URB","0.07*","[ 0.01,  0.13]","0.01","[-0.03,  0.05]","-0.05","[-0.10,  0.01]"
"350","PSS.WITH.PHYS","-0.10***","[-0.15, -0.05]","-0.04*","[-0.08, -0.01]",,
"352","Residual.Variances.BEACH","0.96***","[ 0.94,  0.98]","0.96***","[ 0.94,  0.97]",,
"354","Residual.Variances.INSIDE","0.31***","[ 0.26,  0.36]","0.26***","[ 0.21,  0.30]",,
"356","Residual.Variances.LAKE","0.50***","[ 0.43,  0.57]","0.47***","[ 0.40,  0.55]",,
"358","Residual.Variances.OUTSIDE","0.43***","[ 0.39,  0.48]","0.42***","[ 0.38,  0.46]",,
"360","Residual.Variances.PCOH1","0.31***","[ 0.27,  0.34]","0.30***","[ 0.27,  0.33]",,
"362","Residual.Variances.PCOH2","0.25***","[ 0.22,  0.29]","0.25***","[ 0.22,  0.27]",,
"364","Residual.Variances.PCOH3","0.56***","[ 0.52,  0.59]","0.50***","[ 0.47,  0.53]",,
"366","Residual.Variances.PGREEN1","0.58***","[ 0.52,  0.64]","0.55***","[ 0.49,  0.61]",,
"368","Residual.Variances.PGREEN2","0.66***","[ 0.61,  0.72]","0.64***","[ 0.59,  0.69]",,
"370","Residual.Variances.PHQ","0.24***","[ 0.22,  0.27]","0.39***","[ 0.36,  0.42]",,
"372","Residual.Variances.PHYS","0.95***","[ 0.93,  0.97]","0.98***","[ 0.97,  0.99]",,
"374","Residual.Variances.PPHQ1","0.32***","[ 0.29,  0.36]","0.29***","[ 0.26,  0.31]",,
"376","Residual.Variances.PPHQ2","0.29***","[ 0.25,  0.32]","0.30***","[ 0.27,  0.32]",,
"378","Residual.Variances.PPHQ3","0.46***","[ 0.43,  0.49]","0.54***","[ 0.51,  0.57]",,
"380","Residual.Variances.PPHQ4","0.37***","[ 0.34,  0.40]","0.43***","[ 0.40,  0.47]",,
"382","Residual.Variances.PPHQ5","0.46***","[ 0.43,  0.50]","0.56***","[ 0.52,  0.59]",,
"384","Residual.Variances.PPLEA1","0.67***","[ 0.64,  0.70]","0.64***","[ 0.60,  0.67]",,
"386","Residual.Variances.PPLEA2","0.36***","[ 0.31,  0.40]","0.37***","[ 0.33,  0.41]",,
"388","Residual.Variances.PPSS1","0.35***","[ 0.32,  0.38]","0.36***","[ 0.33,  0.39]",,
"390","Residual.Variances.PPSS2","0.32***","[ 0.29,  0.35]","0.31***","[ 0.29,  0.34]",,
"392","Residual.Variances.PPSS3","0.36***","[ 0.33,  0.39]","0.33***","[ 0.31,  0.36]",,
"394","Residual.Variances.PPSS4","0.29***","[ 0.26,  0.32]","0.30***","[ 0.28,  0.32]",,
"396","Residual.Variances.PPSS5","0.37***","[ 0.34,  0.40]","0.36***","[ 0.34,  0.39]",,
"398","Residual.Variances.PSAFE1","0.30***","[ 0.26,  0.34]","0.29***","[ 0.26,  0.32]",,
"400","Residual.Variances.PSAFE2","0.47***","[ 0.43,  0.50]","0.43***","[ 0.40,  0.46]",,
"402","Residual.Variances.PSAFE3","0.52***","[ 0.48,  0.56]","0.51***","[ 0.47,  0.54]",,
"404","Residual.Variances.PSS","0.80***","[ 0.75,  0.84]","0.86***","[ 0.84,  0.88]",,
"406","Residual.Variances.RIVER","0.77***","[ 0.73,  0.81]","0.77***","[ 0.73,  0.82]",,
"408","Residual.Variances.TRAFFIC","0.78***","[ 0.75,  0.80]","0.78***","[ 0.76,  0.80]",,
"410","SAFE.BY.PSAFE1","0.84***","[ 0.82,  0.86]","0.84***","[ 0.83,  0.86]",,
"412","SAFE.BY.PSAFE2","0.73***","[ 0.71,  0.75]","0.76***","[ 0.74,  0.77]",,
"414","SAFE.BY.PSAFE3","0.69***","[ 0.67,  0.72]","0.70***","[ 0.68,  0.73]",,
"416","SAFE.BY.TRAFFIC","-0.42***","[-0.45, -0.39]","-0.41***","[-0.44, -0.38]",,
"418","SAFE.WITH.COH","0.41***","[ 0.36,  0.46]","0.47***","[ 0.42,  0.51]",,
"420","SAFE.WITH.PLEA","0.64***","[ 0.59,  0.69]","0.67***","[ 0.63,  0.70]",,
"422","Specific.indirect.BLUE.PHYS.PHQ","-0.00","[-0.00,  0.00]","0.00","[-0.00,  0.01]",,
"424","Specific.indirect.BLUE.PSS.PHQ","-0.01","[-0.14,  0.11]","-0.04","[-0.07,  0.00]",,
"426","Specific.indirect.COH.PHYS.PHQ","-0.00","[-0.01,  0.00]","-0.00","[-0.01,  0.00]",,
"428","Specific.indirect.COH.PSS.PHQ","-0.20***","[-0.27, -0.13]","-0.09***","[-0.14, -0.05]",,
"430","Specific.indirect.GREEN.PHYS.PHQ","0.01","[-0.00,  0.01]","0.00","[-0.00,  0.01]",,
"432","Specific.indirect.GREEN.PSS.PHQ","0.06","[-0.07,  0.19]","0.02","[-0.02,  0.06]",,
"434","Specific.indirect.NOI.PHYS.PHQ","-0.00","[-0.00,  0.00]","0.00","[-0.00,  0.00]",,
"436","Specific.indirect.NOI.PSS.PHQ","0.12***","[ 0.05,  0.18]","0.08***","[ 0.05,  0.12]",,
"438","Specific.indirect.PLEA.PHYS.PHQ","0.00","[-0.00,  0.01]","-0.00","[-0.01,  0.00]",,
"440","Specific.indirect.PLEA.PSS.PHQ","0.14*","[ 0.02,  0.27]","0.01","[-0.04,  0.06]",,
"442","Specific.indirect.SAFE.PHYS.PHQ","0.00","[-0.00,  0.01]","0.00*","[ 0.00,  0.01]",,
"444","Specific.indirect.SAFE.PSS.PHQ","-0.15***","[-0.24, -0.07]","-0.12***","[-0.16, -0.08]",,
"446","Sum.of.indirect.PHQ.BLUE","-0.01","[-0.14,  0.11]","-0.03","[-0.07,  0.01]",,
